GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TrabalhoTEDS,modelo.dao,BebidaDAO,480,0,66,0,64,0,39,0,6,0
TrabalhoTEDS,modelo.dao,ClienteDAO,366,0,46,0,49,0,27,0,4,0
TrabalhoTEDS,modelo.dao,ConexaoFactory,361,0,20,0,83,0,17,0,7,0
TrabalhoTEDS,modelo.dao,EnderecoDAO,293,0,38,0,39,0,22,0,3,0
TrabalhoTEDS,modelo.dao,PratoDAO,480,0,66,0,64,0,39,0,6,0
TrabalhoTEDS,modelo.dao,PedidoDAO,279,0,40,0,36,0,23,0,3,0
TrabalhoTEDS,modelo.dao,DAOFactory,221,0,22,0,54,0,25,0,14,0
TrabalhoTEDS,modelo.dao,ProdutoDAO,951,0,132,0,125,0,77,0,11,0
TrabalhoTEDS,modelo.dao,ItemDAO,333,0,48,0,43,0,28,0,4,0
TrabalhoTEDS,modelo,Endereco,59,0,0,0,25,0,17,0,17,0
TrabalhoTEDS,modelo,Prato,31,0,0,0,13,0,9,0,9,0
TrabalhoTEDS,modelo,Pedido,89,31,4,0,23,6,12,3,10,3
TrabalhoTEDS,modelo,Produto,7,31,0,0,3,13,2,9,2,9
TrabalhoTEDS,modelo,CarrinhoCompras,40,8,0,0,11,2,6,1,6,1
TrabalhoTEDS,modelo,Cliente,0,45,0,0,0,19,0,13,0,13
TrabalhoTEDS,modelo,Bebida,31,0,0,0,13,0,9,0,9,0
TrabalhoTEDS,modelo,Venda,30,10,0,0,10,4,4,3,4,3
TrabalhoTEDS,modelo,Item,50,9,0,0,20,4,10,1,10,1
TrabalhoTEDS,controle,ServletControle,1296,0,30,0,341,0,20,0,5,0
